번호,상품명,구성물, 제조사 ,사용연령,설명,영역,관리기관전화번호,데이터기준일자
289,아이스크림 카트,"본체, 소품 15개",립프로그,24개월이상,쉽고 재밌는 역할놀이로 우리ㅣ아이 2세부터 똑똑한 영어학습! 20가지 재료와 신기한 매직 스쿠퍼로 알록달록 다양한 맛의 아이스크림을 만들어보세요.,역할(소꿉),063-432-3400,2022-12-02
290,코끼리코 쌓기놀이,"본체, 고리 5개",립프로그,6개월이상,"다섯개의 컬러의 고리를 코끼리코에 쌓으며 재밌게 놀아요. 코끼리 코끝에 라이트업 버튼을 눌러보세요. 모양,숫자,색깔에 대한 노래를 배울 수 있어요.",조작(탐색),063-432-3400,2022-12-02
291,스텝 앤 런,본체,립프로그,12개월이상,강아지 스카우트와 함께 걸어가면서 ABC노래를 따라 불러보세요.Peppy Puppy song을 통해 10까지 숫자를 세어 보세요.,조작(탐색),063-432-3400,2022-12-02
292,뽀로로 빠방 스쿨버스,"버스, 뽀로로친구들 10명",원더키드,3세이상,인형이 타고 내릴 수 있으며 버스를 펼치면 놀이터가 짠하고 나타납니다. 나만의 피규어를 만들어 보세요. 손잡이가 있어 이동이 편리합니다. ,자동차(모형),063-432-3400,2022-12-02
293,변신소방차놀이세트,"본체, 미니카 5대",모터맥스,3세이상,단순히 자동차로만 가지고 노는 제품이 아니고 소방차를 순서대로 펼치면 멋진 소방서로 변신합니다. 소방차안에 있는 부품들을 차례차례 조립해주면 멋진 미니 시티가 완성되어 미니카들을 재미있게 가지고 놀수 있습니다.,자동차(모형),063-432-3400,2022-12-02
294,자동차운반트럭(미니카6종포함),"본체, 미니카 6대",모터맥스,3세이상,미니카를 넣어 보관할 수 있는 운송트럭 세트에요. 운송트럭에는 1:64 스케일의 작은 미니카 40개를 넣어 보관할 수 있어요. 버튼을 누르면 자동차 소리와 함께 헤드라이트에 불빛이 반짝반짝!,자동차(모형),063-432-3400,2022-12-02
295,카페놀이,"커피메이커, 커피잔세트 2개, 도너츠 3개, 접시, 수저, 우유잔, 설탕통",립프로그,24개월이상,"주문버튼을 누르고 고객의 주문을 접수하며 놀이를 통해 아이의 어휘력을 향상시켜주세요. 스팀버튼,온도 다이얼,분쇄기 버튼을 통해 맛있는 커피를 만들어 보세요.",역할(소꿉),063-432-3400,2022-12-02
296,뽀로로 변신 경찰차,"경찰차, 미니카 3종, 피규어 3종, 경찰서, 소품 5종",아이존,3세이상,뽀로로 경찰차로 놀이하고 경찰서로 변신! 신나게 역할놀이에 몰입하면서 사회성과 창의력이 자랄 수 있어요.,자동차(모형),063-432-3400,2022-12-02
297,뽀로로 세계여행이층버스,"이층버스, 나라카드 20종, 이층좌석, 피규어 6종",원더키드,3세이상,뽀로로 친구들과 세계여행가요. 이층좌석이 분리됩니다. 뽀로로친구들을 버스에 직접 태울 수 있어요. 나라별 카드를 직접 교환해요.,자동차(모형),063-432-3400,2022-12-02
298,똑똑한 꼬마버스타요,본체,아이존,12개월이상,"총 3면에 학습기능이 탑제된 다기능 멀티플레이어!! 퍼즐 놀이로 학습할수 있는기능이 있으며,아기의 감각놀이와 소근육 발달에도 도움을 줍니다.",자동차(모형),063-432-3400,2022-12-02
299,또봇V 빅트롤,로봇 2종,영실업,3세이상,"V 인티그레이션! 빅트레일과 트롤의 합체! 자신의 이름이 불리는 걸 좋아한다. 필살기 : 빅토리 해머, 브이 스탬프!",자동차(모형),063-432-3400,2022-12-02
300,카탄보드게임,"지형타일 19개, 항구부지 6개, 자원카드 95장, 발전카드 25장, 마을말 20개, 도시말 16개, 도로말 60개, 특별점수카드 2장, 카드보관함 2장, 주사위 2개, 도둑말 1개, 숫자칩 18장",코리아보드게임,10세이상,"카탄은 땅 위에 도로와 마을, 도시를 건설하며 자원을 얻고, 다른 플레이어들과 필요한 자원을 거래하며, 가장 먼저 10점을 얻는 플레이어가 승리하는 전략게임입니다.",퍼즐(게임),063-432-3400,2022-12-02
301,다이슨 코드프리 장난감 청소기,본체,캐스돈,3세이상,실제 다이슨 청소기의 디자인과 작동방법까지 그대로 재현한 장난감 청소기입니다. 작동시 진공청소기와 동일한 소리가 나옵니다. 회오리 형태로 스티로폼 조각들이 휘날리며 시각적인 재미가 배가 됩니다.,역할(소꿉),063-432-3400,2022-12-02
302,말하는 에듀기차 띠띠뽀,"본체, 무전기, 도형블록 4개",아이코닉스,3세이상,"50여가지 다양한 멘트와 함께 12가지 즐거운 놀이를 즐길 수 있는 에듀기차 띠띠뽀. 신나는 동요와 다양한 소리, 불빛과 함께 소근육발달, 감각발달, 언어인지 발달에 도움을 줍니다.",자동차(모형),063-432-3400,2022-12-02
303,엄마까투리까투리버스,"까투리버스, 피규어 4개",잼버스코리아,3세이상,버스 뒷부분 5가지 버튼을 눌러 다양한 동요와 효과음을 즐길 수 있어요. 애벌레를 돌려 버스 천장을 올리면 엄마까투리 피규어와 함께 미끄럼틀 놀이를 할 수 있어요.,자동차(모형),063-432-3400,2022-12-02
304,뽀로로 점보 비행기,본체,코니스,4세이상,"30곡의 동요멜로디와 뽀로로 주제가, 친구들의 귀여운 멘트. 반짝이는 램프, 실감나는 이륙음 등 다양한 기능으로 아이들에게  흥미와 재미를 느끼게 해줍니다.",자동차(모형),063-432-3400,2022-12-02
305,로얄베이비 플라잉베어 16 (빨강),본체,로얄베이비,6세이상,"안장 완충장치로 충격방지. 앞바퀴 완충장치로 중격방지. 신형 V브리에크 시스템으로 부드러운 제동. 소프트 가죽, 어린이 엉덩이에 적합한 안장. 일반 타이어 보다 2.4인치 두껍고, 10배 더 오래사용, 접지력이 좋아 제동거리가 뛰어남.",신체(승용),063-432-3400,2022-12-02
306,터널과종합놀이터,본체,스텝2,18개월이상,"오르고, 미끄럼타고, 숨바꼭질하고, 역할놀이도 하고, 접이식 테이블 ,의자, 메모판, 시계, 소리나는 전화기가 있고 조종할 수 있는 핸들과 망원경이 있어 지루할 틈이 없습니다.",신체(승용),063-432-3400,2022-12-02
307,큰놀이집,본체,스텝2,18개월이상,"연령이나 키에 큰 지장없이 재미있게 놀이를 즐길 수 있으며, 두개의 창과 우뚝 솟아오른 지붕, 천장으로 난 채광창 등이 만들어 내는 클래식 스타일이 돋보입니다.",신체(승용),063-432-3400,2022-12-02
308,뽀로로 렛츠고 캠핑카,"캠핑카, 아이스박스, 냉장고, 트레일러, 쇼파, 피규어 6종, 파라솔, 화장실, 해먹, 의자2종, 회전테이블, 자전거, 씽크대, 화로대, 캠핑의자 2종",원더키드,3세이상,캠핑카 안에서 도란도란 재미있게 놀아요. 자전거 걸고 출발. 자전거를 타고 슝슝. 이층침대에서 잠이 솔솔. 끄응! 화장실도 있어요. 트레일러와 연결이 됩니다.,자동차(모형),063-432-3400,2022-12-02
309,헬로카봇 마이티가드,"헬프, 레디, 큐어, 가드, 래더건, 메가소드, 부스터",영실업,3세이상,"레디, 헬프, 큐어, 가드가 다 함께 합체한 카봇. 존댓말을 쓰며 해결책을 제시하는 소방 헬리콥터 헬프, 자신만만하지만 허풍이 좀 심한 소방 지휘차 레디, 신중하다 못해 약간 부정적인 소방 구급차 큐어, 불을 끄는 것을 제일 좋아하는 소방차 가드. 넷이 모여 최강의 구조대 카봇 ‘마이티 가드’로 합체한다.",자동차(모형),063-432-3400,2022-12-02
310,헬로카봇 아이언트,"아이언트, 카봇크루 6대, 아이언트 무기, 카봇크롯장비 6대, 투명파츠런너 2개",영실업,3세이상,카리스마 있는 엔지니어 카봇. 철두철미하면서도 상대를 배려하는 따뜻한 성격. 트럭 형태일 때는 차 안에 수리 전문 로봇 ‘카봇 크루 엔지니어팀’을 태우고 다니며 총지휘한다. 특기는 잠시 동안의 시간 정지능력 ‘타임아웃’!,자동차(모형),063-432-3400,2022-12-02
311,핑크퐁 피아노 버스,"본체, 인형 4개, 소품 3개",미미월드,3세이상,피아노가 있는 핑크퐁 버스 출발. 핑크퐁 노래도 듣고 영어 숫자 공부도 OK. 세가지 모드로 다양하게 놀수 있어요.,자동차(모형),063-432-3400,2022-12-02
312,시크릿 에메랄드 기타,"본체, 마이크",영실업,3세이상,"에메랄드 기타로 연주하고 게임하고 마이크로 노래하고 녹음도 해요. 탈 부착이 가능하고 길이가 조절되는 어깨끈, 기타에 장착하면 시크릿사운드가 나오고 음성변조와 에코, 녹음이 가능한 마이크가 있습니다.",음률,063-432-3400,2022-12-02
313,뽀로로 병원놀이차,"병원놀이차, 청진기, 주사기, 약통",미미월드,3세이상,"불빛이 깜빡깜빡 빛나며 싸이렌 소리 말하느 소리, 뽀로로 주제가 등이 나와요.  뒷문을 열어 청진기, 주시기, 약ㅌㅇ 등 수납이 가능해요.",역할(소꿉),063-432-3400,2022-12-02
314,브라이텍스 카시트,본체,브라이텍스,9kg이상 25kg이하,2가지로 변형이 가능하여 빠르게 성장하는 1~8세 아이들 체형에 맞출수 있어 편안한 탑승이 가능합니다. 넓고 깊은 헤드레스트로 아이의 머리를 감싸주어 사고시 외부 충격으로 부터 완벽하게 보호해줍니다.,신체(승용),063-432-3400,2022-12-02
315,인펀트 투 토들러 락커,본체,피셔프라이스,0개월이상,"신개념 올뉴 인펀트 투 토들러 락커입니다. 더욱더 높아진 퀼리티와 초경량으로 만들어진 고급형으로 진화된 편안하고 모던한 제품입니다.최대수용무게 18kg, 세탁이 가능한 탈부착시트,탈부착이 가능한 토이바로 구성되어 있습니다.",신체(승용),063-432-3400,2022-12-02
316,콩순이 팝콘가게,"팝콘본체, 티켓머신, 팝콘통 3개, 영화티켓 4장, 팝콘박스 4개",영실업,3세이상,"팝콘을 만들고 영화를 추천받는 놀이로 구성되며, 아이들이 영화관에서 느꼈던 호기심을 이끌어 냅니다. 아이만의 영화관에서 다양한 놀이를 즐기며 탐구 논리 능력을 키우는 시간을 선물하세요.",역할(소꿉),063-432-3400,2022-12-02
317,콩순이 목욕놀이 세탁기,"세탁기, 빨래 바구니, 다리미, 옷 4개",영실업,3세이상,"엄마를 따라하려는 모방심리를 충족시켜 줍니다. 엄마가 집에서 세탁기에 옷을 넣어 빨래하는 모습, 빨래를 건조대에 너는 모습, 다림질하는 모습, 이모든 것이 아이에게는 즐거운 놀이입니다. 불에가까이 두지 마십시오.어린이가 부품을 삼키지 않도록 주의하십시오.부모님의 보호하에 사용하십시오",역할(소꿉),063-432-3400,2022-12-02
318,콩순이 피자 가게,"본체, 핫소스, 토마토소스누름틀, 토핑누름틀, 3가지 토핑틀, 피자도우 2개, 쟁반, 밀대, 클레이 4개",영실업,3세이상,"직접 토마토 소스를 쾅쾅 찍어 올리고, 맛있는 토핑을 골고루 얹으면 나만의 피자완성. 클레이로 토핑을 조물조물 만드는 과정은 아이의 소근육 발달에 도움을 줍니다.",역할(소꿉),063-432-3400,2022-12-02
319,콩순이 푸드 코트,"만두, 짜장면, 오므라이스, 스테이크, 김밥, 카드, 입간판, 쟁반, 알림벨, 집게, 계산대, 푸드코트",영실업,3세이상,푸드코트에서 부모님이 대신해주었던 행동들을 아이가 스스로 해볼 수 있는 시간을 주세요. 어떤 음식을 먹을지를 스스로 선택하고 결제하는 소꿉놀이는 아이가 일상에서 만나는 다양한 상황에서 겁먹지 않고 주체적으로 행동하는 데 도움이 될 것입니다.,역할(소꿉),063-432-3400,2022-12-02
320,콩순이 아이스크림 가게,"아이스크림머신, 냉동실, 진열대, 캡슐 4개, 콘 3개, 토핑 3개, 소프트크림",영실업,3세이상,"콩순이와 아이스크림을 만들어 보세요. 캡슐을 아이스크림 머신에 넣고, 손잡이를 내려 다양한 색상의 아이스크림 만들기 체험을 할 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
321,콩순이 말하는 에듀 청소기,"본체, 청소칩 5개",영실업,3세이상,"집안 곳곳에 청소 칩을 던져놓고, 하나씩 청소해 보아요. 색깔, 숫자놀이와 관련된 퀴즈 정답을 맞추면서, 재미있게 배워봐요.",역할(소꿉),063-432-3400,2022-12-02
322,핑크퐁 상어가족 멜로디 패드 아기상어,"멜로디패드, 가사집",스마트스터디,3세이상,누적 조회수 30억 뷰의 글로벌 스타! 상어 가족과 함께하는 핑크퐁 최신 인기 동요 16곡! 반짝이는 라이팅과 재미있는 효과음으로 흥 부자가 되어 신나게 놀아요.,조작(탐색),063-432-3400,2022-12-02
323,핑크퐁 한글버스,"한글버스, 그림책",스마트스터디,3세이상,"가~하, 자음 버튼과 아~이, 모음 버튼이 버스 모양의 완구에 가득 있어요. 6 가지의 모드로 기본 글자, 낱말, 글자 퀴즈, 단어 퀴즈, 말놀이 노래, 빛놀이 게임 등 자연스럽게 어휘가 발달할 수 있게 다양한 놀이로 설계 되어 있어요. ",조작(탐색),063-432-3400,2022-12-02
324,수납차 빠방이 자동차 장난감정리함,"큰 수납장차, 작은자동차 8대",아지니뽀,3세이상,귀여운 수납차 세트에요 실제로 보면 너무 귀여워요! 자동차8대가 랜덤으로 배송되구요 큰 수납장 자동차도 바퀴가 달려잇어 움직인답니다 작은차는 뒤로 밀었다가 손 떼는 순간 앞으로 쭉~~,자동차(모형),063-432-3400,2022-12-02
325,오볼 롤 트레인 파크,본체,오볼,18개월이상,"아이들이 직접 레일을 깔고 모양을 변형시키며 창조적으로 놀이를 이끌어가 가도록 도와주는 장난감입니다. 배터리를 사용하지 않는 기차는 아이가 스스로 움직이고, 밀고 당기면서 놀이를 주도하도록 도와줍니다.",자동차(모형),063-432-3400,2022-12-02
326,리틀타익스 클리어리 야구,"야구방방이, 베이스겸 받침대, 야구공 3개, T볼 지지대",리틀타익스,2세이상,처음 야구를 접해보는 유아들을 위한 T볼 지지대가 있습니다. 공을 위에 올려놓고 놀이하여 주세요. 방망이 안쪽 투명한 부분에 놀이 후 공을 수납할 수 있어 정리가 편리합니다. ,신체(승용),063-432-3400,2022-12-02
327,뽀로로 숲속 놀이터,"본체, 피규어 6개, 나무관람차, 열쇠, 그네, 열매의자 3개, 사다리, 미끄럼틀, 마차, 말, 버섯, 엘레베이터 의자, 통나무",원더키드,3세이상,뽀로로 친구들과 숲속놀이터에서 신나게 놀아요. 열쇠를 돌리면 뾰로롱 나무집이 열려요. 누르고 닫으면 놀이터가 샤샤샥 닫혀요. 회전테이블이 빙글빙글 마차타고 놀아요.,역할(소꿉),063-432-3400,2022-12-02
328,리틀피플인형의집2,"본체, 침대, 인형 3개, 개사발, 의자 2개",피셔프라이스,12개월이상,"어른 세상의 경험을 직접 체험하고 놀이하며 큰 세상에 대해 즐기고 상상 할 수 있도록 도와줍니다. 50가지의 소리 및 노래와 조명 및 화장실, 주방 용품 등이 행복한 집안에 쏘옥 채워져 있습니다.",역할(소꿉),063-432-3400,2022-12-02
329,전기스토브세트,"스토브, 팬, 냄비, 음식소품등",레드박스,3세이상,고정이 쉬운 받침대가 있어 안정적으로 놀이를 할수 있습니다. 각각의 도구를 직접 사용해보며 아이들은 다양한 도구의 원리와 활용법을 익히게 됩니다.,역할(소꿉),063-432-3400,2022-12-02
330,뽀로로 빙글빙글 춤추는 노래방,"본체, 마이크, 캐릭터 5개",주영아이,3세이상,신나고 재미있는 뽀로로 친구들 춤추는 노래방!부드러운 음악이 아기의 두뇌를 자극하여 편안한 멜로디와 불빛으로 지능발달이 됩니다. 빙글빙글 회전하면서 방향감각도 익히고 동요반주와 함께 건반도 치고 마이크로 노래도 부릅니다.,음률,063-432-3400,2022-12-02
331,뛰뛰빵빵 베이비 운전놀이,본체,브이텍,3개월이상,"밝은 색상의 역할놀이 완구이며, 운전대와 기어, 깜박이, 열쇠 등으로 구성되었습니다. 현실감 넘치고 재미있는 효과음과 영어 문장을 들려줍니다.",조작(탐색),063-432-3400,2022-12-02
332,숲속나무 모양 분류 놀이,"숲속나무, 모양블록 6개",러닝리소스,2세이상,"커다란 숲속 나무에는 꽃과 열매, 나뭇잎도 달려 있구요. 숲의 조각사 딱따구리와 귀여운 다람쥐 친구도 살고 있어요. 큼지막한 블록들을 나무에 있는 구멍의 모양에 맞춰 쏙쏙 넣으면 아래의 나무 동치로 뺄 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
333,베이비 토이 5종세트,"멜로디링쌓기, 스핀회전목마, 스피드달팽이 3개, 돼지오뚝이, 해피전화기",코레샵,2세이상,링을 끼우거나 빼면 불빛과 함께 효과음이 나오는 링쌓기입니다. 펀치를 누르면 안에 공들이 빙글빙글 돌아가는 스피너입니다. 달팽이의 등껍질을 누르며 빠른 속도로 달려가는 달팽이입니다. 좌우로 움직이며 재미있는 소리가 나는 돼지오뚝이입니다. 재미있는 사운드와 불빛이 반짝이는 전화기입니다.,조작(탐색),063-432-3400,2022-12-02
334,에듀플러스,본체,코니스,2세이상,"7개의 면에 아이의 지능계발, 감각발달을 돠와주는 콘텐츠가 가득 채워져있는 완구입니다. IQ+EQ 에듀플러스는 아이들의 흥미를 이끄는 다양한 교육적인 놀이들로 채워져 있어 아이 혼자서도 질리지 않고 재미있게 놀이와 학습을 동시에 할 수 있는 교육 완구 입니다. ",조작(탐색),063-432-3400,2022-12-02
335,브라키오사우루스 포크레인,본체,러닝리소스,3세이상,건전기가 필요없는 손조작 완구이며 아이들이 상상하는 모든것을 무너뜨릴 준비가 된 공룡장난감입니다. 모래 위에서 조정이 가능하며 포크레인이 지나간 자리에서 공룡발자국을 관찰할 수 있습니다.,자동차(모형),063-432-3400,2022-12-02
336,ATM 놀이,"ATM기계, 달러모형, ATM카드",러닝리소스,5세이상,아이들의 ATM 놀이로 저금과 인출을 해보면서 동전과 지폐를 구분하고 달러의 개념을 정립 할 수 있습니다.,역할(소꿉),063-432-3400,2022-12-02
337,로보카폴리 내비게이션이있는 폴리운전놀이,"본체, 의자",원앤원,6세이상,"폴리와 함께 실감나는 운전 놀이를 할 수 있는 완구로 움직이는 네이게이션, 브레이크와 액셀레이터 기능에 조절가능한 사이드 미러와 실감 나는 효과음으로 재미있게 운전 놀이를 할 수 있습니다.",신체(승용),063-432-3400,2022-12-02
338,모양 맞추기 티 세트,"본체, 찻잔 5개, 받침 5개",러닝리소스,24개월이상,"5가지의 모양을 매칭할 수 있는 찻잔 세트와 주전자로 구성되어 아이들의 역할놀이뿐만 아니라도형과 숫자, 색깔인지 학습을 놀이를 통해 체험할 수 있습니다. 커다란 찻 주전자 안에 5개의 찻잔 세트를 모두 넣어 깔끔하게 정리도 할수  있어 아이들의 정리 습관도 기를 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
339,숲속친구들 아기체육관,본체,리틀타익스,0개월이상,아치를 따라 움직이는 새 인형을 눈으로 따라가며 아기가 고개를 돌리며 목 근육 및 시력을 발달 시킬 수 있습니다. 부드러운 진동 매트와 자연의 소리가 아기를 진정시키고 마음을 편안하게 해줍니다.,신체(승용),063-432-3400,2022-12-02
340,프린세스테일즈 모빌 한글판테일즈,"본체, 흑백모빌, 거치대, 어댑터",타이니러브,0개월이상,"영아의 시각발달과 호기심자극 안정감을 주며, 40분간 지속되는 여러 가지 클래식 뮤직과 뮤직박스 기능이 있습니다. 은은한 라이트와 멜로디 기능이 있어 밤에는 은은한 조명으로 사용이 가능하며, 수유시에도 편리합니다.",조작(탐색),063-432-3400,2022-12-02
341,3in1 자동차 보행기,본체,아이엠베이비,10개월이상,"귀여운 모양의 비행기 조종대와 비행기 날개, 컴팩트 폴딩으로 간편한 보관, 3단계로 높이 조절이 가능하고, 재밌는 멜로디 트레이와 비행기 조종 놀이를 할 수 있습니다.",신체(승용),063-432-3400,2022-12-02
342,전동드릴 공구놀이 세트,"본체, 드릴, 망치, 스패너, 나사 2개, 못 2개, 카드 2개, 트레이",브이텍,24개월이상,아빠가 집에서 사용하는 공구상자와 유사한 형태의 공구상자 완구로 공구를 이용하여 망치질을 하고 전동드릴으로 나사를 조이는 등 재미있는 역할놀이를 할 수 있습니다.,역할(소꿉),063-432-3400,2022-12-02
343,뽀로로 멜로디 안전그네,"본체, 그네봉",지나월드,13개월이상,유아의 성장에 따라 3단계로 안전하게 사용할 수 있어요. 뽀로로 주제가 연주기능. 하트버튼에 불빛이 반짝반짝. 뽀로로와 함께 즐겁게 그네를 타요.,신체(승용),063-432-3400,2022-12-02
344,빅에듀큐브,"본체, 양면블럭 10pcs, 블록 23pcs",하베브릭스,12개월이상,"다양하게 호기심을 자극하는 놀이로 깨우쳐요. 의성어, 의태어는 물론 한글과 영어까지 놀다보면 언어를 마스터해요. 쌓고 무너뜨리며 다양한 조합의 블록놀이를 통해 창의력을 쌓아요. 좌뇌/우뇌의 고른 발달을 도와줘요.",조작(탐색),063-432-3400,2022-12-02
345,손대면 물 나오는 세면대 놀이,"본체, 칫솔, 드라이기, 치약, 빗, 핸드워시, 물컵, 시계",하베브릭스,3세이상,"손을 대면 자동으로 물이 졸졸졸. 손씻기도 재밌게 쓱싹쓱싹. 저절로 손이 가요. 씻기와 친해 지도록 이야기 해주고, 자연스럽게 놀면서 일상생활을 알게돼요.",역할(소꿉),063-432-3400,2022-12-02
346,말랑말랑 재미있는 미용놀이,10pcs,우드피아,3세이상,말랑말랑 부드러운 미용놀이로 재미있는 역할놀이를 해봐요. 로션으로 촉촉하게 매니큐어로 반짝반짝.,역할(소꿉),063-432-3400,2022-12-02
347,콩순이 스쿨버스,"스쿨버스, 피규어 3개, 카드 7개, 교통표지판 3개, 보관함",영실업,3세이상,"콩순이 스쿨버스는 콩콩이, 세요 피규어와 함께 탈 수 있고, 버스를 펼쳐 타고 내리는 역할 놀이를 할 수 있는 완구입니다.",역할(소꿉),063-432-3400,2022-12-02
348,클래식 러닝홈,"본체, 편지 3개, 도형블록 4개, 공 3개, 열쇠", 피셔프라이스,6개월이상 ,국민대문 러닝홈 피셔프라이스입니다. 6개월부터 36개월까지 아기가 성장함에 따라 학습 컨텐츠를 자동/수동으로 변경할 수 있어 제품 하나로 우리 아기의 성장단계에 알맞은 적기교육이 가능해집니다. ,신체(승용),063-432-3400,2022-12-02
349,뛰뛰빵빵 디럭스 주차장놀이,"주차장놀이세트, 견인차 1대",브이텍,12개월이상 ,"귀여운 견인차와 함께 주차장을 돌아다니며, 역할놀이를 할수 있습니다.",자동차(모형),063-432-3400,2022-12-02
350,출발 신나는 세계여행,본체,브이텍,3세이상,조이스틱을 이용하여 비행기를 타고 지구본의 전세계 여러나라를 탐험하며 학습할 수 있는 멀티 학습완구입니다.,조작(탐색),063-432-3400,2022-12-02
351,공주의 궁전놀이세트,10pcs,레드박스,3세이상,"공주의 궁전놀이세트는 옛날이야기 속에 나오는 공주이야기를 연사케 해요. 궁전, 의자, 말, 마차 등 알록달록 알찬 구성품으로 되어 있어요. 꽃모양 벨을 누를때마다 3가지 노래가 나와요.",조작(탐색),063-432-3400,2022-12-02
352,콩순이 주방놀이세트,주방놀이본체 외 23종,영실업,3세이상,오늘은 내가 요리사! 어떤 음식을 만들지 칠판에 메뉴를 그려요. 칼로 통통 탁탁탁 썰고 냄비에 부글보글 후라이팬에 지글지글 요리해요. 다양한 재료로 맛있는 음식을 척척만들어내는 곳인 부엌은 아이들에게 흥미로운 공간이여요.,역할(소꿉),063-432-3400,2022-12-02
353,핑크 스윗홈,"원목집, 거실가구, 욕실가구, 침실가구, 원목인형",투키토이,3세이상,"원목으로 만들어진 가구, 인형, 집으로 구성된핑크 스윗홈입니다. 창문, 1층과 다락방이 있고 문을 열고 지붕을 뒤집으면 마당이 생겨요.  다양한 가구들이 있어 원하는 곳에 가구를 배치할 수 있습니다. 왕관을 쓴 공주님도 만날 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
354,뽀로로 변신 구급차,"변신구급차, 미니카 2종, 피규어 2개, 스트레쳐카, 부속품 3개",아이존,3세이상,뽀로로 구급차로 놀이하고 구급본부로 변신! 신나게 역할놀이에 몰입하면서 사회성과 창의력이 자랄 수 있어요.,자동차(모형),063-432-3400,2022-12-02
355,출동슈퍼윙스 시즌4 바다탐험해리세트,"해리, 만능집게, 만능그물, 불가사리, 돌고래",알파그룹,3세이상,"수륙양용! 라이트닝&사운드! 움직이는 물안경! 움직이는 핸들! 만능 발사장치! 대소근육발달, 공간인지능력, 기본생활습관 등 발달시킬 수 있어요",자동차(모형),063-432-3400,2022-12-02
356,타요 학교 플레이 세트,"학교플레이세트, 미니카 1대",아이코닉스,3세이상,"가방을 열면 다양한 놀이요소와 함께 미니카 보관이 가능한 플레이 세트입니다. 주유놀이와 함께 레일이 이동하는 타요 정비실이 가능한 타요 교실, 운동회가 가능한 운동장 놀이판이 있습니다.",역할(소꿉),063-432-3400,2022-12-02
357,댄싱로봇 빗보,본체,피셔프라이스,9개월이상,즐거운 노래에 맞춰 빗보가 얼굴과 몸을 흔들며 북돋우면 아기도 덩달아 신이나서 춤을 추고 노래하게 됩니다. 빗보와 함께 영어공부와 게임도 하고 아기만의 노래를 만들어 부를 수 있습니다.불에가까이 두지 마십시오.어린이가 부품을 삼키지 않도록 주의하십시오.부모님의 보호하에 사용하십시오,음률,063-432-3400,2022-12-02
358,아기와 놀아 주는 꼬꼬맘,꼬꼬맘 외 2종 ,블루래빗,12개월이상," 아기와 함께 음악에 맞추어 빙글빙글 춤을 춰요. 날개를 파닥파닥, 꽁무니를 위아래 흔들흔들! 즐거운 음악에 맞추어 신나게 춤추는 꼬꼬맘은 아기에게 호기심과 즐거움을 선물합니다. ",조작(탐색),063-432-3400,2022-12-02
359,펜타스톰X 최강5대합체,"로봇 5대, 무기 5개, 미사일런처 2개, 방패 1개, 큐브팩 6개",초이락,3세이상,"스톰X, 프론폴리스, 스카이S.W.A.T, 댄디엠블런스, 에이스레스큐, 5대의 로봇이 합체하여 거대로봇 펜타스톰으로 변신하는 로봇 완구입니다.",조작(탐색),063-432-3400,2022-12-02
360,또봇V 천하대장군,"천하대장군본체, 또키, 검, 방패 ",영실업,3세이상,변신 합체 할수 있는 로봇 완구 입니다. 로봇으로 변신하고 비클로도 변신 할 수 있습니다. 동물형 또키 2가지 모드로도 변신 합체 합니다. 검과 방패로 태앙을 지키는 충직한 무사 천하대장군 로봇입니다.,조작(탐색),063-432-3400,2022-12-02
361,쥬라기공원 공룡놀이세트21P,21pcs,레드박스,3세이상,"쥬라기 공원 공룡놀이세트는 21개의 구성품이 들어 있습니다. 세뿔 트리케라툽스, 티라노사우루스는 건전지로 작동되고, 세뿔 트리케라툽스 태엽을 돌리면 눈과 뿔에 불빛이 나며 동시에 리얼 실감나는 울음소리와 머리와 다리도 움직여 실감나는 공룡이 걸어가는 모습 또한 볼 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
362,피크닉 바구니,바구니본체 외15종,립프로그,6개월이상 ,"즐거운 소풍놀이 장난감, 피크닉 바구니 입니다. 피크닉 바구니와 함께 음식 모형을 매치하며 음식 이름과 도형, 색깔에 대한 다양한 어휘를 배울 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
363,핑크퐁 아기상어 양치놀이,본체 외 6종,오로라,3세이상,아기상어의 충치를 치료해 주세요. 양치송을 따라 치카치카 양치질을 해봐요. 칫솔을 앞니에 대면 아기상어가 말을 해요. ,역할(소꿉),063-432-3400,2022-12-02
364,립스토리(한영이야기),본체,립프로그,3세이상,"천장에서 움직이는 스카우트를 보면서 이야기를 들어보세요. 가장 좋아하는 이야기를 엄마아빠의 목소리로 들을 수 있어요. 다양한 이야기와 노래를 한국어로 한번, 영어로 한번 들으며 습득하고 이해력과 어휘력을 쑥쑥 키울 수 있어요.",조작(탐색),063-432-3400,2022-12-02
